Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,8.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Allegany,6.6,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Anne Arundel,7.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Baltimore City,12.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Baltimore County,9.5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Calvert,7.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Caroline,7.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Carroll,6.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Cecil,7.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Charles,11.1,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Dorchester,7.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Frederick,6.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Garrett,11,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Harford,7.2,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Howard,8.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Kent,10.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Montgomery,7.5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Prince George's,9.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Queen Anne's,9.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Saint Mary's,6.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Somerset,13.2,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Talbot,7.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Washington,9.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Wicomico,9.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Worcester,5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
State,13,Black Non-Hispanic,2017,Babies with low birth weight
Allegany,,Black Non-Hispanic,2017,Babies with low birth weight
Anne Arundel,12.3,Black Non-Hispanic,2017,Babies with low birth weight
Baltimore City,15.6,Black Non-Hispanic,2017,Babies with low birth weight
Baltimore County,14,Black Non-Hispanic,2017,Babies with low birth weight
Calvert,12.5,Black Non-Hispanic,2017,Babies with low birth weight
Caroline,14,Black Non-Hispanic,2017,Babies with low birth weight
Carroll,13.2,Black Non-Hispanic,2017,Babies with low birth weight
Cecil,17.8,Black Non-Hispanic,2017,Babies with low birth weight
Charles,13.8,Black Non-Hispanic,2017,Babies with low birth weight
Dorchester,14.3,Black Non-Hispanic,2017,Babies with low birth weight
Frederick,14.9,Black Non-Hispanic,2017,Babies with low birth weight
Garrett,,Black Non-Hispanic,2017,Babies with low birth weight
Harford,12,Black Non-Hispanic,2017,Babies with low birth weight
Howard,12.9,Black Non-Hispanic,2017,Babies with low birth weight
Kent,,Black Non-Hispanic,2017,Babies with low birth weight
Montgomery,9.5,Black Non-Hispanic,2017,Babies with low birth weight
Prince George's,12.1,Black Non-Hispanic,2017,Babies with low birth weight
Queen Anne's,,Black Non-Hispanic,2017,Babies with low birth weight
Saint Mary's,11.5,Black Non-Hispanic,2017,Babies with low birth weight
Somerset,23.7,Black Non-Hispanic,2017,Babies with low birth weight
Talbot,21.3,Black Non-Hispanic,2017,Babies with low birth weight
Washington,17.1,Black Non-Hispanic,2017,Babies with low birth weight
Wicomico,10.7,Black Non-Hispanic,2017,Babies with low birth weight
Worcester,8.1,Black Non-Hispanic,2017,Babies with low birth weight
State,7.2,Hispanic,2017,Babies with low birth weight
Allegany,,Hispanic,2017,Babies with low birth weight
Anne Arundel,7.2,Hispanic,2017,Babies with low birth weight
Baltimore City,8.5,Hispanic,2017,Babies with low birth weight
Baltimore County,8,Hispanic,2017,Babies with low birth weight
Calvert,14.3,Hispanic,2017,Babies with low birth weight
Caroline,,Hispanic,2017,Babies with low birth weight
Carroll,,Hispanic,2017,Babies with low birth weight
Cecil,8.9,Hispanic,2017,Babies with low birth weight
Charles,6.2,Hispanic,2017,Babies with low birth weight
Dorchester,,Hispanic,2017,Babies with low birth weight
Frederick,5.9,Hispanic,2017,Babies with low birth weight
Garrett,,Hispanic,2017,Babies with low birth weight
Harford,8.4,Hispanic,2017,Babies with low birth weight
Howard,8.9,Hispanic,2017,Babies with low birth weight
Kent,,Hispanic,2017,Babies with low birth weight
Montgomery,7.3,Hispanic,2017,Babies with low birth weight
Prince George's,6.9,Hispanic,2017,Babies with low birth weight
Queen Anne's,,Hispanic,2017,Babies with low birth weight
Saint Mary's,,Hispanic,2017,Babies with low birth weight
Somerset,,Hispanic,2017,Babies with low birth weight
Talbot,,Hispanic,2017,Babies with low birth weight
Washington,10.9,Hispanic,2017,Babies with low birth weight
Wicomico,4.5,Hispanic,2017,Babies with low birth weight
Worcester,,Hispanic,2017,Babies with low birth weight
State,6.6,White Non-Hispanic,2017,Babies with low birth weight
Allegany,6.6,White Non-Hispanic,2017,Babies with low birth weight
Anne Arundel,6.5,White Non-Hispanic,2017,Babies with low birth weight
Baltimore City,7.2,White Non-Hispanic,2017,Babies with low birth weight
Baltimore County,7,White Non-Hispanic,2017,Babies with low birth weight
Calvert,6.8,White Non-Hispanic,2017,Babies with low birth weight
Caroline,7.4,White Non-Hispanic,2017,Babies with low birth weight
Carroll,6.9,White Non-Hispanic,2017,Babies with low birth weight
Cecil,6.2,White Non-Hispanic,2017,Babies with low birth weight
Charles,9,White Non-Hispanic,2017,Babies with low birth weight
Dorchester,4.8,White Non-Hispanic,2017,Babies with low birth weight
Frederick,5.6,White Non-Hispanic,2017,Babies with low birth weight
Garrett,11.2,White Non-Hispanic,2017,Babies with low birth weight
Harford,6,White Non-Hispanic,2017,Babies with low birth weight
Howard,5,White Non-Hispanic,2017,Babies with low birth weight
Kent,8,White Non-Hispanic,2017,Babies with low birth weight
Montgomery,6,White Non-Hispanic,2017,Babies with low birth weight
Prince George's,6.1,White Non-Hispanic,2017,Babies with low birth weight
Queen Anne's,9.8,White Non-Hispanic,2017,Babies with low birth weight
Saint Mary's,5.6,White Non-Hispanic,2017,Babies with low birth weight
Somerset,7.3,White Non-Hispanic,2017,Babies with low birth weight
Talbot,7.2,White Non-Hispanic,2017,Babies with low birth weight
Washington,7.9,White Non-Hispanic,2017,Babies with low birth weight
Wicomico,10.9,White Non-Hispanic,2017,Babies with low birth weight
Worcester,4.2,White Non-Hispanic,2017,Babies with low birth weight
State,8.7,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Allegany,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Anne Arundel,10,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Baltimore City,10.2,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Baltimore County,7.7,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Calvert,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Caroline,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Carroll,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Cecil,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Charles,7.8,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Dorchester,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Frederick,8.3,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Garrett,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Harford,5.8,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Howard,9.4,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Kent,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Montgomery,8.7,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Prince George's,9.8,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Queen Anne's,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Saint Mary's,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Somerset,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Talbot,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Washington,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Wicomico,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
Worcester,,Asian/ Pacific Islander (Hispanic & Non-Hispanic),2017,Babies with low birth weight
State,8.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Allegany,8.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Anne Arundel,7.4,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Baltimore City,11.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Baltimore County,8.8,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Calvert,6.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Caroline,6.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Carroll,7.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Cecil,7.9,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Charles,10.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Dorchester,9.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Frederick,5.9,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Garrett,10,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Harford,7.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Howard,8.4,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Kent,8.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Montgomery,7.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Prince George's,9.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Queen Anne's,7.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Saint Mary's,6.5,All races/ ethnicities (aggregated),2016,Babies with low birth weight
