Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,6.5,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Allegany,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Anne Arundel,4.1,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Baltimore City,8.7,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Baltimore County,6.5,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Calvert,6.7,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Caroline,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Carroll,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Cecil,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Charles,10.9,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Dorchester,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Frederick,6.3,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Garrett,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Harford,1.9,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Howard,5.4,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Kent,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Montgomery,4.6,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Prince George's,8.2,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Queen Anne's,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Saint Mary's,6.7,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Somerset,41.2,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Talbot,,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Washington,9.8,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Wicomico,10.9,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
Worcester,12.6,All races/ ethnicities (aggregated),2017,Infant Mortality Rate
State,11.2,Black Non-Hispanic,2017,Infant Mortality Rate
Allegany,,Black Non-Hispanic,2017,Infant Mortality Rate
Anne Arundel,7.9,Black Non-Hispanic,2017,Infant Mortality Rate
Baltimore City,12.2,Black Non-Hispanic,2017,Infant Mortality Rate
Baltimore County,12.4,Black Non-Hispanic,2017,Infant Mortality Rate
Calvert,,Black Non-Hispanic,2017,Infant Mortality Rate
Caroline,,Black Non-Hispanic,2017,Infant Mortality Rate
Carroll,,Black Non-Hispanic,2017,Infant Mortality Rate
Cecil,,Black Non-Hispanic,2017,Infant Mortality Rate
Charles,10,Black Non-Hispanic,2017,Infant Mortality Rate
Dorchester,,Black Non-Hispanic,2017,Infant Mortality Rate
Frederick,15.5,Black Non-Hispanic,2017,Infant Mortality Rate
Garrett,,Black Non-Hispanic,2017,Infant Mortality Rate
Harford,,Black Non-Hispanic,2017,Infant Mortality Rate
Howard,8.7,Black Non-Hispanic,2017,Infant Mortality Rate
Kent,,Black Non-Hispanic,2017,Infant Mortality Rate
Montgomery,6.5,Black Non-Hispanic,2017,Infant Mortality Rate
Prince George's,12,Black Non-Hispanic,2017,Infant Mortality Rate
Queen Anne's,,Black Non-Hispanic,2017,Infant Mortality Rate
Saint Mary's,,Black Non-Hispanic,2017,Infant Mortality Rate
Somerset,64.5,Black Non-Hispanic,2017,Infant Mortality Rate
Talbot,,Black Non-Hispanic,2017,Infant Mortality Rate
Washington,,Black Non-Hispanic,2017,Infant Mortality Rate
Wicomico,12.1,Black Non-Hispanic,2017,Infant Mortality Rate
Worcester,80.6,Black Non-Hispanic,2017,Infant Mortality Rate
State,4.7,Hispanic,2017,Infant Mortality Rate
Allegany,,Hispanic,2017,Infant Mortality Rate
Anne Arundel,5.3,Hispanic,2017,Infant Mortality Rate
Baltimore City,,Hispanic,2017,Infant Mortality Rate
Baltimore County,5.7,Hispanic,2017,Infant Mortality Rate
Calvert,,Hispanic,2017,Infant Mortality Rate
Caroline,,Hispanic,2017,Infant Mortality Rate
Carroll,,Hispanic,2017,Infant Mortality Rate
Cecil,,Hispanic,2017,Infant Mortality Rate
Charles,,Hispanic,2017,Infant Mortality Rate
Dorchester,,Hispanic,2017,Infant Mortality Rate
Frederick,,Hispanic,2017,Infant Mortality Rate
Garrett,,Hispanic,2017,Infant Mortality Rate
Harford,,Hispanic,2017,Infant Mortality Rate
Howard,,Hispanic,2017,Infant Mortality Rate
Kent,,Hispanic,2017,Infant Mortality Rate
Montgomery,4.7,Hispanic,2017,Infant Mortality Rate
Prince George's,5,Hispanic,2017,Infant Mortality Rate
Queen Anne's,,Hispanic,2017,Infant Mortality Rate
Saint Mary's,,Hispanic,2017,Infant Mortality Rate
Somerset,,Hispanic,2017,Infant Mortality Rate
Talbot,,Hispanic,2017,Infant Mortality Rate
Washington,,Hispanic,2017,Infant Mortality Rate
Wicomico,,Hispanic,2017,Infant Mortality Rate
Worcester,,Hispanic,2017,Infant Mortality Rate
State,4,White Non-Hispanic,2017,Infant Mortality Rate
Allegany,,White Non-Hispanic,2017,Infant Mortality Rate
Anne Arundel,2.8,White Non-Hispanic,2017,Infant Mortality Rate
Baltimore City,2.9,White Non-Hispanic,2017,Infant Mortality Rate
Baltimore County,3.1,White Non-Hispanic,2017,Infant Mortality Rate
Calvert,,White Non-Hispanic,2017,Infant Mortality Rate
Caroline,,White Non-Hispanic,2017,Infant Mortality Rate
Carroll,,White Non-Hispanic,2017,Infant Mortality Rate
Cecil,,White Non-Hispanic,2017,Infant Mortality Rate
Charles,12.2,White Non-Hispanic,2017,Infant Mortality Rate
Dorchester,,White Non-Hispanic,2017,Infant Mortality Rate
Frederick,6.1,White Non-Hispanic,2017,Infant Mortality Rate
Garrett,,White Non-Hispanic,2017,Infant Mortality Rate
Harford,,White Non-Hispanic,2017,Infant Mortality Rate
Howard,,White Non-Hispanic,2017,Infant Mortality Rate
Kent,,White Non-Hispanic,2017,Infant Mortality Rate
Montgomery,3.3,White Non-Hispanic,2017,Infant Mortality Rate
Prince George's,,White Non-Hispanic,2017,Infant Mortality Rate
Queen Anne's,,White Non-Hispanic,2017,Infant Mortality Rate
Saint Mary's,5.1,White Non-Hispanic,2017,Infant Mortality Rate
Somerset,,White Non-Hispanic,2017,Infant Mortality Rate
Talbot,,White Non-Hispanic,2017,Infant Mortality Rate
Washington,10.6,White Non-Hispanic,2017,Infant Mortality Rate
Wicomico,12.5,White Non-Hispanic,2017,Infant Mortality Rate
Worcester,,White Non-Hispanic,2017,Infant Mortality Rate
State,3.1,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Howard,5.7,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Montgomery,3.6,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2017,Infant Mortality Rate
