Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,79.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Allegany,76,All races/ ethnicities (aggregated),2017,Life Expectancy
Anne Arundel,79.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Baltimore City,72.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Baltimore County,78.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Calvert,79.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Caroline,76.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Carroll,79,All races/ ethnicities (aggregated),2017,Life Expectancy
Cecil,76.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Charles,78.9,All races/ ethnicities (aggregated),2017,Life Expectancy
Dorchester,76.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Frederick,80,All races/ ethnicities (aggregated),2017,Life Expectancy
Garrett,78.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Harford,79,All races/ ethnicities (aggregated),2017,Life Expectancy
Howard,83.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Kent,79.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Montgomery,84.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Prince George's,79.1,All races/ ethnicities (aggregated),2017,Life Expectancy
Queen Anne's,79.8,All races/ ethnicities (aggregated),2017,Life Expectancy
Saint Mary's,79.2,All races/ ethnicities (aggregated),2017,Life Expectancy
Somerset,75,All races/ ethnicities (aggregated),2017,Life Expectancy
Talbot,81.3,All races/ ethnicities (aggregated),2017,Life Expectancy
Washington,77.5,All races/ ethnicities (aggregated),2017,Life Expectancy
Wicomico,76.7,All races/ ethnicities (aggregated),2017,Life Expectancy
Worcester,77.9,All races/ ethnicities (aggregated),2017,Life Expectancy
State,76.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Allegany,78.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Anne Arundel,78.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore City,70.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore County,77.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Calvert,77,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Caroline,75.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Carroll,77.3,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Cecil,72.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Charles,79.5,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Dorchester,73.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Frederick,77.9,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Garrett,,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Harford,76.8,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Howard,82,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Kent,75.6,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Montgomery,83.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Prince George's,78.7,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Queen Anne's,74.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Saint Mary's,77.6,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Somerset,75,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Talbot,77.1,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Washington,77.8,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Wicomico,74.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
Worcester,72.2,Black (Hispanic & Non-Hispanic),2017,Life Expectancy
State,79.9,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Allegany,75.6,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Anne Arundel,79.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore City,76.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Baltimore County,78.4,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Calvert,79.6,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Caroline,76.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Carroll,79,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Cecil,76.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Charles,78.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Dorchester,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Frederick,80,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Garrett,78.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Harford,79.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Howard,83.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Kent,79.8,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Montgomery,84.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Prince George's,79.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Queen Anne's,80.2,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Saint Mary's,79.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Somerset,74.7,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Talbot,82.3,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Washington,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Wicomico,77.5,White (Hispanic & Non-Hispanic),2017,Life Expectancy
Worcester,79.1,White (Hispanic & Non-Hispanic),2017,Life Expectancy
State,79.5,All races/ ethnicities (aggregated),2016,Life Expectancy
Allegany,76.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Anne Arundel,79.6,All races/ ethnicities (aggregated),2016,Life Expectancy
Baltimore City,73.4,All races/ ethnicities (aggregated),2016,Life Expectancy
Baltimore County,78.7,All races/ ethnicities (aggregated),2016,Life Expectancy
Calvert,79.7,All races/ ethnicities (aggregated),2016,Life Expectancy
Caroline,76.1,All races/ ethnicities (aggregated),2016,Life Expectancy
Carroll,79.1,All races/ ethnicities (aggregated),2016,Life Expectancy
Cecil,76.8,All races/ ethnicities (aggregated),2016,Life Expectancy
Charles,79.2,All races/ ethnicities (aggregated),2016,Life Expectancy
Dorchester,76.8,All races/ ethnicities (aggregated),2016,Life Expectancy
Frederick,80.2,All races/ ethnicities (aggregated),2016,Life Expectancy
